Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
1990 Q1,4.4,9,3.3,9.4,5.3,7.1,7.8,8.5,8.5,10.4,10.1,10,3273.5,76,108.4,27.3
1990 Q2,1.5,6.1,3,6.8,5.3,4,7.7,8.7,8.8,10.7,10.3,10,3424.4,76,107.5,24.2
1990 Q3,0.3,3.7,0.1,5.2,5.7,7.1,7.5,8.5,8.8,10.6,10.1,10,2879.3,75.9,107,36.5
1990 Q4,-3.6,-0.7,-3.2,2.1,6.1,7,7,8.1,8.5,10.9,10,10,3101.4,75.5,106.6,34
1991 Q1,-1.9,2,1.2,3.4,6.6,3,6,7.7,8.2,10.4,9.5,9.2,3583.7,74.9,105.6,36.2
1991 Q2,3.2,6.2,3,5.3,6.8,2.4,5.6,7.8,8.3,10.1,9.5,8.7,3545.5,75.5,104.6,20.1
1991 Q3,2,5.3,1.5,4.3,6.9,3.1,5.4,7.5,8.1,9.8,9.3,8.4,3744,75.2,101,21.2
1991 Q4,1.4,3.8,3.2,6.2,7.1,3.4,4.5,6.7,7.5,9.2,8.7,7.6,4041.1,75,97.6,21.9
1992 Q1,4.9,6.4,7.9,10.7,7.4,2.7,3.9,6.7,7.5,8.9,8.7,6.5,3961.6,75.2,95.4,19.8
1992 Q2,4.4,6.9,3.8,6.6,7.6,3.1,3.7,6.7,7.5,8.6,8.7,6.5,3930.3,75,93.2,20.2
1992 Q3,4,6.1,1.7,4.4,7.6,3.1,3.1,5.7,6.9,7.9,8,6,4024.4,74.9,90.7,16.2
1992 Q4,4.2,7.1,1.8,4.7,7.4,3.6,3.1,6,7,8.1,8.2,6,4289.7,75.2,88.3,21
1993 Q1,0.7,2.9,1.5,4,7.1,2.9,3,5.5,6.5,7.7,7.8,6,4444.3,75.4,87.4,16.2
1993 Q2,2.3,4.8,1.3,4,7.1,2.9,3,5.2,6.2,7.2,7.5,6,4449.6,75.7,86.5,15.3
1993 Q3,1.9,4.4,0.3,2.1,6.8,1.9,3,5,5.8,6.8,7.1,6,4601.8,76.3,86.4,17.3
1993 Q4,5.6,7.9,2.8,5.2,6.6,3.4,3.1,5,5.8,6.7,7,6,4657.8,77,86.4,15.9
1994 Q1,3.9,5.9,2.6,4.1,6.6,2,3.3,5.5,6.2,7.1,7.3,6,4457.7,77.2,87.4,20.5
1994 Q2,5.5,7.6,4.1,6.4,6.2,2.3,4,6.7,7.2,8.2,8.4,6.9,4395.2,77.7,88.4,23.9
1994 Q3,2.4,4.7,2.4,5.3,6,3.8,4.5,6.9,7.4,8.4,8.6,7.5,4605.8,78,89.3,14.9
1994 Q4,4.7,7,5.9,7.9,5.6,2.3,5.3,7.6,7.9,8.9,9.1,8.1,4540.6,78.4,90.4,18.4
1995 Q1,1.4,3.6,3.4,5.5,5.5,3,5.7,7.4,7.6,8.6,8.8,8.8,4920.4,78.6,90.6,14.3
1995 Q2,1.2,3.2,1.1,3.5,5.7,3.3,5.6,6.4,6.7,7.7,7.9,9,5348.8,79.1,90.5,13.5
1995 Q3,3.4,5.5,3.7,5.4,5.7,2,5.4,6.1,6.5,7.4,7.7,8.8,5806.6,79.9,91.2,13.8
1995 Q4,2.7,4.7,2.3,4.1,5.6,2.2,5.3,5.7,6,7,7.3,8.7,6057.2,80.3,92.1,15.7
1996 Q1,3,5,3.8,6.1,5.5,3.6,4.9,5.6,6,6.9,7.3,8.3,6365.9,80.9,92.5,20.7
1996 Q2,6.8,8.6,3.7,6.5,5.5,3.5,5,6.5,6.8,7.7,8.1,8.3,6612.8,81.5,92.7,20.2
1996 Q3,3.6,5,3.2,4.9,5.3,2.3,5.1,6.5,6.8,7.7,8.1,8.3,6765.7,82,91.9,21.6
1996 Q4,4.2,6.5,2,4.8,5.3,3.5,5,6.1,6.4,7.2,7.7,8.3,7198.3,82.5,97.4,22
1997 Q1,2.6,5.1,3.7,5.6,5.2,2.5,5.1,6.4,6.6,7.4,7.8,8.3,7213.5,83.2,105,22.1
1997 Q2,6.8,7.7,3.5,4.5,5,0.9,5,6.6,6.8,7.5,7.9,8.5,8396.9,84,105,21.8
1997 Q3,5.1,6.9,4.8,5.9,4.9,2,5,6.1,6.4,7.1,7.5,8.5,9180.2,85,108.9,26
1997 Q4,3.5,4.8,6,7.4,4.7,2.2,5.1,5.9,6,6.9,7.2,8.5,9298.2,86.3,118.6,38.2
1998 Q1,4.1,4.7,8.8,8.8,4.6,0.8,5.1,5.6,5.7,6.7,7.1,8.5,10494.7,88.1,120.7,28.7
1998 Q2,3.8,4.7,5.7,6.5,4.4,1.3,5,5.6,5.8,6.7,7.1,8.5,10663.6,89.2,125.5,26.1
1998 Q3,5.1,6.9,4,5.3,4.5,2.1,4.8,5.2,5.4,6.8,6.9,8.5,9346.8,90.8,125.3,45.3
1998 Q4,6.6,7.8,3,4.1,4.4,1.9,4.3,4.6,4.9,6.8,6.8,7.9,11317.6,92.5,127.8,45.7
1999 Q1,3.8,5.2,4.3,5.2,4.3,1.5,4.4,5,5.4,6.9,6.9,7.8,11707.7,93.9,123.8,33
1999 Q2,3.4,5,0.3,2.6,4.3,3,4.5,5.5,5.8,7.3,7.2,7.8,12583.6,95.8,123.8,28.9
1999 Q3,5.4,6.9,2.9,5.1,4.2,3,4.7,5.9,6.2,7.8,7.8,8.1,11713.8,97.7,129.4,28.5
1999 Q4,6.7,9.1,5.3,7.9,4.1,3,5,6.1,6.5,8,7.8,8.4,13812.7,99.8,131.6,28.8
2000 Q1,1.5,4.2,7.2,10.7,4,4,5.5,6.6,6.7,8.3,8.3,8.7,14296.2,102.3,125.1,27
2000 Q2,7.5,10.2,4.8,6.8,3.9,3.2,5.7,6.5,6.4,8.6,8.3,9.2,13618.5,104.9,133.9,33.5
2000 Q3,0.4,2.8,5.4,8.1,4,3.7,6,6.1,6.1,8.2,8,9.5,13613.3,107.2,142.6,21.9
2000 Q4,2.4,4.6,2.7,5.1,3.9,2.9,6,5.6,5.8,8,7.6,9.5,12175.9,109.6,145.5,31.7
2001 Q1,-1.3,1.3,3.2,6.3,4.2,3.9,4.8,4.9,5.3,7.5,7,8.6,10645.9,112.2,144.4,32.8
2001 Q2,2.5,5,-0.3,1.6,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,114.2,145,34.7
2001 Q3,-1.6,0,9.5,9.7,4.8,1.1,3.2,4.6,5.3,7.2,7,6.6,9563,116.4,146,43.7
2001 Q4,1.1,2.4,-6.5,-6.3,5.5,-0.3,1.9,4.2,5.1,7.1,6.8,5.2,10707.7,118.3,138.6,35.3
2002 Q1,3.4,4.7,9.9,10.8,5.7,1.3,1.7,4.5,5.4,7.4,7,4.8,10775.7,120.4,142.9,26.1
2002 Q2,2.5,3.9,3.2,6.3,5.8,3.2,1.7,4.5,5.4,7.5,6.8,4.8,9384,123.6,140.9,28.4
2002 Q3,1.6,3.6,0.5,2.6,5.7,2.2,1.6,3.4,4.5,7.2,6.3,4.8,7773.6,126.7,143.5,45.1
2002 Q4,0.5,2.8,2.5,4.4,5.9,2.4,1.3,3.1,4.3,6.9,6.1,4.5,8343.2,129.3,149.5,42.6
2003 Q1,2.1,4.1,0.1,3.2,5.9,4.2,1.2,2.9,4.2,6.2,5.8,4.3,8051.9,131.9,155.1,34.7
2003 Q2,3.6,5.1,4.6,5,6.1,-0.7,1,2.6,3.8,5.3,5.5,4.2,9342.4,134.8,153.2,29.1
2003 Q3,6.8,9.3,7,9.8,6.1,3,0.9,3.1,4.4,5.6,6,4,9649.7,138.7,149.1,22.7
2003 Q4,4.7,7.3,1.1,3.1,5.8,1.5,0.9,3.2,4.4,5.4,5.9,4,10799.6,143.2,151.2,21.1
2004 Q1,2.3,5.2,1.8,5,5.7,3.4,0.9,3,4.1,5,5.6,4,11039.4,148.1,160.8,21.6
2004 Q2,3.1,6.5,4.2,7,5.6,3.2,1.1,3.7,4.7,5.7,6.1,4,11144.6,154,168.8,20
2004 Q3,3.8,6.5,2.6,4.6,5.4,2.6,1.5,3.5,4.4,5.4,5.9,4.4,10893.8,159.2,179.6,19.3
2004 Q4,4.1,7.4,4.7,8.4,5.4,4.4,2,3.5,4.3,5.1,5.7,4.9,11951.5,165.2,179.5,16.6
2005 Q1,4.5,7.9,-5.3,-3.1,5.3,2,2.5,3.9,4.4,5.2,5.8,5.4,11637.3,172,185.9,14.7
2005 Q2,2,5,3.7,6.4,5.1,2.7,2.9,3.9,4.2,5.4,5.7,5.9,11856.7,178.8,189.2,17.7
2005 Q3,3.2,7,1.5,5.9,5,6.2,3.4,4,4.3,5.4,5.8,6.4,12282.9,185,197.6,14.2
2005 Q4,2.2,5.6,3.6,7,5,3.8,3.8,4.4,4.6,5.8,6.2,7,12497.2,190.1,204.2,16.5
2006 Q1,5.5,8.5,7.6,9.9,4.7,2.1,4.4,4.6,4.7,5.8,6.2,7.4,13121.6,193.7,210.1,14.6
2006 Q2,1,4.6,1.5,5.1,4.6,3.7,4.7,5,5.2,6.3,6.6,7.9,12808.9,192.3,219.3,23.8
2006 Q3,0.6,3.4,0.6,3.5,4.6,3.8,4.9,4.8,5,6.3,6.6,8.3,13322.5,190.9,224.8,18.6
2006 Q4,3.5,5,5,4.3,4.4,-1.6,4.9,4.6,4.7,6,6.2,8.3,14215.8,190.8,229.5,12.7
2007 Q1,1.2,5.1,3.1,6.9,4.5,4,5,4.6,4.8,6,6.2,8.3,14354,189,236.3,19.6
2007 Q2,2.5,5.3,2,5.5,4.5,4.6,4.7,4.7,4.9,6.2,6.4,8.3,15163.1,183.3,245.9,18.9
2007 Q3,2.3,4.6,0.7,3,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15317.8,178.2,251.3,30.8
2007 Q4,2.5,4.2,0.5,4.6,4.8,5,3.4,3.8,4.4,6.3,6.2,7.5,14753.6,172.5,249,31.1
2008 Q1,-1.7,-0.2,1.7,5.1,5,4.4,2.1,2.8,3.9,6.4,5.9,6.2,13284.1,165.7,229.4,32.2
2008 Q2,2.4,4.4,8.5,12.8,5.3,5.3,1.6,3.2,4.1,6.7,6.1,5.1,13016.4,158.2,233.4,24.1
2008 Q3,-2.1,0.9,-7.5,-3.5,6,6.3,1.5,3.1,4.1,7.1,6.3,5,11826,151.2,227.9,46.7
2008 Q4,-8.5,-7.6,4.6,-1.9,6.9,-8.9,0.3,2.2,3.7,9.7,5.9,4.1,9056.7,143.4,221,80.9
2009 Q1,-4.5,-4.8,-0.3,-3,8.3,-2.7,0.2,1.9,3.2,9.1,5.1,3.3,8044.2,139.2,207.3,56.7
2009 Q2,-0.7,-1.4,2.7,4.3,9.3,2.1,0.2,2.3,3.7,8.1,5,3.3,9342.8,139.2,170.3,42.3
2009 Q3,1.4,1.9,-4.8,-2.1,9.6,3.5,0.2,2.5,3.8,6.5,5.2,3.3,10812.8,139.7,165.4,31.3
2009 Q4,4.4,5.7,0.6,3.7,9.9,3.2,0.1,2.3,3.7,5.8,4.9,3.3,11385.1,140.5,153.9,30.7
2010 Q1,2,3.1,2.4,4,9.8,0.6,0.1,2.4,3.9,5.6,5,3.3,12032.5,139.2,159.2,27.3
2010 Q2,3.9,6,6.8,7.5,9.6,-0.1,0.1,2.3,3.6,5.4,4.9,3.3,10645.8,139.6,171.4,45.8
2010 Q3,3.1,4.4,2.2,3,9.5,1.2,0.2,1.6,2.9,4.8,4.4,3.3,11814,136.7,169.8,32.9
2010 Q4,2.1,4.5,1.5,4.2,9.5,3.3,0.1,1.5,3,4.7,4.4,3.3,13131.5,135.5,171.9,23.5
