date,mkt,smb,hml,proft,invst,rfr,mmntm
1976-01-01,0.1216,0.0634,0.0863,-0.0179,0.0228,0.0047,0.0445
1976-02-01,0.0032,0.0799,0.0587,-0.0264,0.0387,0.0034,0.0038
1976-03-01,0.0232,-0.0138,-0.0012,-0.0033,0.0096,0.004,0.0015
1976-04-01,-0.0149,0.0008,-0.0016,0.004,-0.011,0.0042,0.0059
1976-05-01,-0.0134,-0.011,-0.0136,0.0246,-0.0141,0.0037,-0.0112
1976-06-01,0.0405,-0.0107,0.0071,-0.0068,0.0102,0.0043,-0.0042
1976-07-01,-0.0107,0.0063,0.0173,-0.0105,0.0028,0.0047,-0.0013
1976-08-01,-0.0056,-0.0198,0.0081,-0.0042,-0.0055,0.0042,-0.0085
1976-09-01,0.0207,0.001,-0.0029,0.0098,-0.0115,0.0044,0.0022
1976-10-01,-0.0242,0.0013,-0.0018,-0.0019,-0.0037,0.0041,-0.0044
1976-11-01,0.0036,0.0266,0.0151,-0.0141,0.0009,0.004,0.0291
1976-12-01,0.0565,0.0364,0.0227,-0.0061,0.0228,0.004,0.0073
1977-01-01,-0.0405,0.059,0.0427,-0.0051,0.0197,0.0036,0.04
1977-02-01,-0.0194,0.0107,0.0047,-0.0016,-0.0022,0.0035,0.0036
1977-03-01,-0.0137,0.0131,0.0109,-0.003,-0.0006,0.0038,0.0055
1977-04-01,0.0015,0.0061,0.0338,-0.0201,0.0114,0.0038,0.0421
1977-05-01,-0.0145,0.0131,0.0085,0.0033,0.0019,0.0037,0.0203
1977-06-01,0.0471,0.0208,-0.0074,0.0091,-0.012,0.004,0.0166
1977-07-01,-0.0169,0.0188,-0.0056,0.0073,0.0009,0.0042,0.0032
1977-08-01,-0.0175,0.0086,-0.027,0.0098,-0.0066,0.0044,-0.017
1977-09-01,-0.0027,0.0143,-0.0052,0.0143,-0.0084,0.0043,0.02
1977-10-01,-0.0438,0.0148,0.0175,-0.002,-0.003,0.0049,-0.0008
1977-11-01,0.04,0.0364,0.0026,-0.0013,0.0073,0.005,0.0201
1977-12-01,0.0027,0.0159,-0.0029,0.0092,-0.0069,0.0049,0.0158
1978-01-01,-0.0601,0.0272,0.0336,-0.0172,0.0152,0.0049,-0.0066
1978-02-01,-0.0138,0.037,0.0083,0.003,0.0101,0.0046,0.0197
1978-03-01,0.0285,0.0371,0.0118,-0.0059,0.0189,0.0053,0.0137
1978-04-01,0.0788,-0.0026,-0.0354,0.0281,-0.0126,0.0054,0.0086
1978-05-01,0.0176,0.0458,-0.0052,0.0022,0.0041,0.0051,0.0283
1978-06-01,-0.0169,0.0156,0.0057,-0.014,-0.0007,0.0054,0.0274
1978-07-01,0.0511,0.0012,-0.0115,0.0155,-0.0078,0.0056,0.0417
1978-08-01,0.0375,0.0495,-0.0051,0.0143,0.0046,0.0056,0.0283
1978-09-01,-0.0143,-0.0032,0.0189,-0.0067,0.0178,0.0062,-0.0314
1978-10-01,-0.1191,-0.1002,0.0138,0.0012,0.0094,0.0068,-0.0846
1978-11-01,0.0271,0.0281,-0.0215,0.0113,-0.0117,0.007,0.0545
1978-12-01,0.0088,0.0113,-0.0213,0.0201,-0.0132,0.0078,0.0303
1979-01-01,0.0423,0.0378,0.0219,-0.0247,0.0152,0.0077,-0.0136
1979-02-01,-0.0356,0.0054,0.0117,-0.0112,0.0094,0.0073,-0.0106
1979-03-01,0.0568,0.0324,-0.0071,0.0053,0.0032,0.0081,0.0293
1979-04-01,-0.0006,0.0237,0.0112,0.0108,0.0017,0.008,0.0081
1979-05-01,-0.0221,0.0018,0.0131,-0.0154,-0.0027,0.0082,-0.0054
1979-06-01,0.0385,0.01,0.0144,-0.0166,-0.0052,0.0081,0.0084
1979-07-01,0.0082,0.0127,0.0186,-0.0029,0.0071,0.0077,-0.0107
1979-08-01,0.0553,0.0192,-0.0158,0.0162,-0.0148,0.0077,-0.002
1979-09-01,-0.0082,-0.0032,-0.009,0.0101,0.0032,0.0083,0.0528
1979-10-01,-0.081,-0.035,-0.0184,0.0101,0.0007,0.0087,0.0201
1979-11-01,0.0521,0.0253,-0.0329,0.0006,-0.0212,0.0099,0.0814
1979-12-01,0.0179,0.0432,-0.021,-0.007,-0.0092,0.0095,0.0478
1980-01-01,0.0551,0.0183,0.0175,-0.017,0.0164,0.008,0.0755
1980-02-01,-0.0122,-0.0157,0.0061,0.0004,0.0268,0.0089,0.0788
1980-03-01,-0.129,-0.0693,-0.0101,0.0146,-0.0119,0.0121,-0.0955
1980-04-01,0.0397,0.0105,0.0106,-0.021,0.0029,0.0126,-0.0043
1980-05-01,0.0526,0.0211,0.0038,0.0034,-0.0031,0.0081,-0.0112
1980-06-01,0.0306,0.0141,-0.0076,-0.0015,-0.0126,0.0061,0.0162
1980-07-01,0.0649,0.0382,-0.0641,0.0406,-0.0243,0.0053,0.0039
1980-08-01,0.018,0.0425,-0.026,0.0206,-0.0086,0.0064,0.0321
1980-09-01,0.0219,0.0067,-0.0459,0.0191,-0.0276,0.0075,0.0539
1980-10-01,0.0106,0.0233,-0.0276,0.0165,-0.0115,0.0095,0.073
1980-11-01,0.0959,-0.0331,-0.0833,0.045,-0.0566,0.0096,0.1522
1980-12-01,-0.0452,-0.0029,0.0279,-0.0129,0.0124,0.0131,-0.0668
1981-01-01,-0.0504,0.0329,0.0672,-0.0351,0.0433,0.0104,-0.0795
1981-02-01,0.0057,-0.005,0.0102,0.0021,0.0222,0.0107,-0.0135
