Date,ARCHER-DANIELS-MIDLAND CO,BANK OF AMERICA CORP,CONAGRA BRANDS INC,COLGATE-PALMOLIVE CO,CAMPBELL SOUP CO,JOHNSON & JOHNSON,JPMORGAN CHASE & CO,KELLANOVA,COCA-COLA CO,LILLY (ELI) & CO,MERCK & CO,PFIZER INC,PROCTER & GAMBLE CO,TYSON FOODS INC  -CL A,WALMART INC
1963-01,,0.0608,,0.0724,0.0935,0.1024,0.0586,0.1511,0.0587,0.0915,0.1079,0.0688,0.0337,,
1963-02,,0.0145,,0,-0.1033,0.0196,0.0341,-0.0602,-0.0028,0.0365,-0.064,-0.0307,-0.0307,,
1963-03,,0.0139,,0.0722,0.0119,0.0033,-0.0253,0.0992,0.0464,-0.0145,0.0382,0.0103,0.0423,,
1963-04,,0.1339,,0.0459,0.0031,0.012,-0.0184,-0.0526,-0.0107,0.0501,0.0797,0.0787,0.0561,,
1963-05,,0.0686,,0.0102,0.021,0.0509,-0.0116,0.0988,0.0054,0.0258,0.0014,0.0038,-0.0161,,
1963-06,,-0.0293,,0.0731,-0.0231,0,0.0184,0.0345,0.0153,-0.0055,0.0078,-0.0306,-0.0098,,
1963-07,,-0.0237,,0,0.0387,-0.0028,0,0.0648,0.0187,-0.0166,0.0582,-0.0534,-0.0277,,
1963-08,,0,,0.015,0.0331,0.0977,0.0232,-0.0029,0.0707,0.0118,0.1311,0.1272,0.0751,,
1963-09,,0.018,,0.0192,-0.0086,-0.034,-0.0289,0.0033,0.0042,0.0196,-0.0896,-0.08,0.0032,,
1963-10,,-0.0182,,-0.0852,0.0154,0.1601,-0.0147,0.0728,0.0147,0.1319,0.0793,0.0038,0.0082,,
1963-11,,-0.025,,-0.0386,0.0567,0.0023,-0.0507,0.0815,0.0198,-0.0209,-0.0249,-0.0047,0,,
1963-12,,0.051,,0.0185,0.0816,-0.0444,0.0167,-0.0172,0.1025,0.1,0.0713,-0.0124,0.0079,,
1964-01,,-0.0427,,-0.0352,-0.025,0.0319,0.0094,-0.0234,0.0216,-0.0227,0.0388,-0.0026,0.0336,,
1964-02,,-0.0251,,0.0696,0.0011,0.0968,0.0464,0.0228,0.0032,0.0852,0.0374,0.0194,-0.0061,,
1964-03,,0.026,,0.0237,0.0455,-0.0694,0.0186,-0.0029,0.0675,-0.0647,-0.0064,-0.0677,0.0368,,
1964-04,0.0034,-0.0191,,-0.0162,-0.0522,-0.0701,0.0132,-0.0147,0.006,-0.0415,-0.0353,0.0215,-0.0347,,
1964-05,0.0137,-0.0132,,0.068,0.0101,0.0327,-0.0115,0.0826,0.0099,0.0208,-0.0644,-0.0405,-0.0123,,
1964-06,-0.0241,-0.0398,,0.0388,-0.01,-0.01,0.0067,0.0389,0.0342,-0.0284,0.0656,0.0331,0.0312,,
1964-07,-0.007,0.09,,0.0011,-0.0115,-0.0024,0.0308,0,0.0504,0.0585,0.1107,0.0853,0.0234,,
1964-08,0.0248,0.0067,,-0.0509,-0.0378,-0.0174,0.0567,-0.016,-0.0091,-0.063,-0.0211,-0.0639,0.0015,,
1964-09,-0.007,0.0161,,0.0706,0.0036,0.0203,0.0759,0.0273,-0.0073,-0.005,0.0693,0.0106,0.0044,,
1964-10,-0.0071,0.0277,,0.0274,-0.0014,0.037,-0.0151,0.0585,-0.0333,-0.01,0.0435,0.0209,-0.0096,,
1964-11,0.0107,0.0123,,-0.0129,0.0036,0.0595,0.0102,0.0447,0.0326,0.1423,0.0444,0.0128,-0.0539,,
1964-12,0.0393,0.0002,,0.034,0.1071,0.0068,-0.0561,-0.0654,0.0504,0.0177,0.0665,0.0102,0.0316,,
1965-01,0.0137,0.0273,,0.0567,-0.0394,0.0827,0.0108,0.1088,0.0941,0.1174,0.0428,0.1035,-0.0403,,
1965-02,-0.0237,-0.0034,,0.0217,0.0135,0.0316,-0.038,0.0234,0.0227,0.0324,-0.0024,0.0092,-0.0305,,
1965-03,0.0282,0.0122,,0.0094,-0.0733,-0.0022,0.0108,-0.0275,-0.0629,0.0189,0.0097,0.0023,-0.0216,,
1965-04,0.0616,0.0175,,-0.0458,0.0209,0.0404,0,-0.0236,0.075,0.2156,0.094,0.0864,0.03,,
1965-05,-0.0677,0.0144,,-0.0283,0.0035,0.0391,-0.0622,0.0531,-0.0016,-0.0541,-0.0352,-0.0523,-0.0215,,
1965-06,-0.0632,-0.02,,-0.0342,-0.0106,-0.0709,-0.0327,-0.0968,-0.0184,-0.0649,-0.0023,-0.0621,-0.022,,
1965-07,-0.0599,0.0236,,-0.0157,-0.0329,0.1135,-0.007,-0.0255,0.0016,0.0833,0.0368,0.0875,0.0254,,
1965-08,-0.0231,0,,-0.0608,0.0112,0.0863,0.0977,0.034,0.0195,0.0592,0.0887,0.0848,-0.0306,,
1965-09,0.1198,0.0584,,0.0172,0.0331,0.0934,0.0258,-0.0636,0.0054,0.0334,0.002,0,0.0053,,
1965-10,0.0849,-0.011,,-0.0093,0.0384,-0.0823,-0.0917,-0.0543,-0.0159,-0.0706,0.1367,0.0543,-0.0145,,
1965-11,-0.0469,-0.0164,,-0.0558,0.0483,0.0983,-0.0229,-0.0236,0.0573,-0.0206,-0.0162,0.0847,0.0178,,
1965-12,0.0722,-0.0603,,0.0091,-0.0658,0.044,-0.0042,-0.0178,0.0585,0.0844,0.0368,0.0532,-0.0297,,
1966-01,0.1111,0.0299,,-0.0099,-0.0176,0.0855,-0.0118,0.003,-0.0029,0.0539,0.0018,0.0017,0.009,,
1966-02,-0.0085,-0.1049,,-0.0138,0.0181,0.0167,-0.0796,-0.1223,-0.0729,-0.0125,0.0372,-0.0279,-0.0719,,
1966-03,0.0617,-0.057,,0,-0.1064,-0.0212,-0.0282,0.0623,0.0626,-0.0145,0.0587,-0.0434,0.0233,,
1966-04,0.032,0.0067,,-0.0707,-0.0079,0.0108,0,0.0163,-0.0714,0.0616,-0.0259,-0.0417,-0.0568,,
1966-05,-0.1375,0.0417,,-0.0505,-0.0202,-0.0834,-0.0054,-0.0724,0.016,-0.1061,-0.0183,-0.075,0.0364,,
1966-06,-0.0099,-0.0385,,-0.0372,0,0.0932,-0.0133,0.0314,-0.0492,0.0124,0.0514,0.07,0.0039,,
1966-07,0.06,0.0553,,0.0376,-0.0165,-0.0747,-0.0225,-0.0541,0.0301,-0.0337,-0.0355,0.0269,0.0486,,
1966-08,-0.1126,-0.0587,,0.043,-0.0506,-0.1118,-0.1207,-0.0343,-0.0276,-0.0425,-0.0754,-0.194,0.0355,,
1966-09,-0.0287,-0.0057,,0.1237,-0.0711,-0.0537,0.0433,-0.0037,-0.0003,0.0433,0.0424,0.1215,0.0379,,
1966-10,0.0923,0.1273,,0.1092,0.1053,0.1099,0.1681,0.1386,0.1057,0.0128,0.0262,0.0708,0.0504,,
1966-11,-0.023,-0.003,,-0.0542,-0.0175,0.0486,-0.0624,-0.0184,0.0498,0.106,0.0823,0.0805,-0.02,,
1966-12,0.007,-0.0021,,-0.0176,-0.0356,0.0119,0.0585,-0.0135,0.0422,-0.0057,-0.0285,0.0163,-0.0068,,
1967-01,0,0.0514,,0.0448,0.0553,0.1023,0.047,0.0342,0.06,0.0086,-0.0065,0.1357,0.0795,,
1967-02,0.0354,-0.0791,,0.0563,-0.0925,0.0271,-0.0423,0.0318,0.0579,0.0246,0.0328,0.0179,-0.0096,,
1967-03,-0.0102,0.0212,,-0.0328,0.0049,0.1503,0.0758,0.0971,0.0301,0.1092,0.0394,-0.0202,0.0855,,
1967-04,0.2123,0.0524,,0.0975,0.0966,0.0541,-0.0235,-0.0442,0.0995,0.0227,0.0399,0.0759,0.0155,,
1967-05,0.0458,0.0492,,-0.0156,-0.0267,-0.0306,-0.0185,-0.0414,-0.0044,0.0212,-0.0914,-0.0215,0.0103,,
1967-06,-0.0191,-0.0531,,-0.0435,-0.0365,0.0265,0.0037,-0.0227,0.0978,0.0194,0.0695,-0.0151,0.0087,,
1967-07,0.2833,0.1209,,0.2107,0.0806,-0.0597,0.0328,0.0365,0.0355,0.0381,0.0762,0.0674,0.1263,,
1967-08,-0.0277,0.0064,,0.0997,-0.031,0.0622,0.0557,0.0083,-0.0617,0.0518,-0.0028,-0.0066,-0.0258,,
1967-09,-0.065,-0.0053,,0.0375,0.1918,0.1019,0.0285,0.0385,0.0378,-0.0044,-0.0074,-0.0522,-0.0066,,
1967-10,0.0528,0.007,,-0.0995,-0.1111,0.0192,-0.0148,0.0741,0,-0.0681,-0.0489,-0.0642,-0.0501,,
1967-11,0.0323,-0.0204,,0.0741,0.0696,0.0017,-0.0124,-0.1047,0.1194,0.0061,0.0377,-0.0418,-0.0113,,
1967-12,0.02,-0.0121,,0.1129,-0.0774,0.0576,0.0389,0.1005,-0.0399,-0.0024,-0.0105,0.036,0.0543,,
1968-01,-0.1111,0.1046,,-0.0923,0.0134,-0.075,0.0246,-0.0118,-0.0491,-0.0708,-0.0696,-0.1294,-0.0938,,
1968-02,0.0176,0.0192,0.1161,0.0375,0.0305,-0.0521,0.0362,-0.0036,0.0119,-0.001,-0.0127,-0.1192,0.0241,-0.0313,
1968-03,-0.0485,-0.0238,-0.1136,-0.1145,0,0.0125,-0.0052,-0.0904,0.0512,-0.023,0.0213,0.0586,0.0265,0.0976,
1968-04,0.2041,0.0195,0.0545,0.232,0.064,0.0831,0.0591,0.0927,0.0974,0.0862,0.1048,0.1232,0.0842,0.0149,
1968-05,0.0216,0.0941,0.1724,0.0056,0.0968,0.0273,0.0178,0.0267,0.0068,0.0572,0.0172,0.0665,-0.012,-0.0294,
1968-06,0.0167,0.0529,0.1382,-0.0111,-0.0479,0.0249,0.1024,-0.0179,0.0007,0.0251,-0.0011,-0.0189,0,0.5311,
1968-07,-0.0062,-0.033,-0.0649,0.0397,-0.1196,-0.0257,0.022,-0.0395,-0.0476,0.078,-0.0242,-0.0175,-0.0083,0.32,
1968-08,-0.0657,0.04,0.0972,-0.0378,0.0485,0.0114,0.0177,0.0941,0.0464,0.0368,0.0353,-0.0707,0.0122,-0.0606,
1968-09,-0.0245,0.0227,-0.0329,0.1292,0.0044,-0.044,0.0054,0,-0.0182,0.088,-0.0508,0.0309,-0.0567,0.2987,
1968-10,0.0091,0.0645,0.1842,0.0901,-0.0252,-0.013,0.0831,-0.0291,-0.0017,0.0735,0.0401,0.0075,0.0169,0.1816,
1968-11,0.1317,0,0.085,-0.0734,0.1565,0.1298,0.0679,0.0108,0.0443,0.0205,0.0358,0.0944,0.1133,0.0213,
1968-12,0.0704,0.0376,0.0581,-0.0248,-0.0415,0.0994,-0.0214,-0.006,-0.0386,0.0438,0.0017,0.0308,-0.1196,-0.0362,
1969-01,-0.0451,-0.0392,0,-0.042,-0.0265,0.0258,-0.0069,-0.0029,0.0035,0,0.0333,0.0565,-0.004,0.0543,
1969-02,-0.0291,-0.0612,-0.1633,-0.0107,-0.0325,-0.0092,-0.1215,0.0065,-0.047,-0.0645,-0.1022,-0.0962,-0.0292,-0.0928,
1969-03,-0.0163,0.0948,0.078,0.008,0.0296,0.0926,0.0775,0.0182,0.0395,0.0657,0.0503,0.0629,0.0407,-0.1986,
1969-04,-0.0207,0.08,-0.0227,0.0599,0.0619,0.0445,-0.0333,-0.0179,0.0195,-0.0292,0.0287,0.0691,0.0249,0.0286,
1969-05,-0.061,0,0,0.0152,-0.0078,-0.0126,-0.0115,0.0521,0.0398,0.0602,0.0334,0.0412,0.0725,0.1667,
1969-06,-0.0364,-0.0396,-0.1814,-0.045,-0.0625,-0.0679,-0.0654,-0.0291,-0.0689,-0.057,0.0036,-0.043,-0.0557,-0.1833,
1969-07,-0.1627,-0.0097,-0.1,-0.0199,-0.0325,0.0375,-0.1112,-0.0419,-0.0233,-0.0772,-0.0189,-0.0341,0.0157,-0.0588,
1969-08,-0.0107,0.0071,0.127,-0.0108,0.048,0.1379,0.1226,0.0225,0.0754,0.0545,0.0563,0.1216,0.0585,0.1094,
1969-09,0.2213,-0.0098,-0.0352,-0.057,-0.0083,0.0412,-0.0205,-0.0185,0.0645,0.1557,-0.007,-0.0316,0.0263,-0.062,
1969-10,0.04,0.0792,0.1324,0.0097,0.1011,0.1043,0.1452,0.0975,0.0807,0.0904,0.1067,0.1662,0.1362,0.1136,
1969-11,0.0231,0.0092,0.1591,0.0575,0.069,-0.0166,-0.1136,0.0292,-0.0633,0.0523,0.019,0.0346,-0.0386,-0.0272,
1969-12,-0.0022,-0.0389,-0.0059,-0.0326,0.0215,0.194,0.0368,-0.0787,0.0545,0.0733,0.0626,0.0235,0.0342,-0.0825,
1970-01,-0.0446,-0.0381,-0.1667,-0.0264,-0.0379,-0.1222,-0.0521,0.0183,-0.0365,0.0537,-0.1062,-0.0133,0.0196,-0.0769,
1970-02,0.115,0.0446,0.0429,-0.0029,0.0515,0.0106,0.1495,0.0401,0.0457,-0.0644,0.0792,0.0946,-0.0158,0.0667,
1970-03,-0.0211,0.0969,-0.0479,0.0029,-0.014,-0.0306,-0.0015,0.0233,-0.0273,0.0124,-0.0596,-0.0584,-0.0023,-0.1625,
